"","words","variable","value"
"1","the","news",0.0569463628358279
"2","to","news",0.0260313308658042
"3","and","news",0.0255395732070281
"4","a","news",0.0253096357816596
"5","of","news",0.0222833392805552
"6","in","news",0.0195057806649945
"7","for","news",0.0101966649427617
"8","that","news",0.0100131943997617
"9","is","news",0.00820679073776702
"10","on","news",0.00779101466227962
"11","with","news",0.00735710235178451
"12","said","news",0.00722991767188963
"13","he","news",0.0066062968776912
"14","was","news",0.00659584255114216
"15","it","news",0.00632899730994583
"16","at","news",0.00615600997284994
"17","as","news",0.00542937651898188
"18","i","news",0.00458035235816684
"19","his","news",0.00454725661721327
"20","be","news",0.00439552448547675
"21","you","news",0.00277487283553565
"22","my","news",0.00121896869974631
"23","me","news",0.000791438726730026
"24","your","news",0.000915995385310089
"25","have","news",0.00413699649855147
"26","this","news",0.00352749770900076
"27","the","blogs",0.0493656188906028
"28","to","blogs",0.0283508751246452
"29","and","blogs",0.0288923366029928
"30","a","blogs",0.0238785975001212
"31","of","blogs",0.0232766987592432
"32","in","blogs",0.0158212623290553
"33","for","blogs",0.00965421426743946
"34","that","blogs",0.0122233565440441
"35","is","blogs",0.0114909271485726
"36","on","blogs",0.00742527100073839
"37","with","blogs",0.00761270099712439
"38","said","blogs",0.000971358749365768
"39","he","blogs",0.00383577110259326
"40","was","blogs",0.00739122183874945
"41","it","blogs",0.0106667512220856
"42","at","blogs",0.00461759838385653
"43","as","blogs",0.00594344083061654
"44","i","blogs",0.020479240890958
"45","his","blogs",0.00291330482177099
"46","be","blogs",0.00554102229735974
"47","you","blogs",0.00789682529337742
"48","my","blogs",0.00719184803475951
"49","me","blogs",0.00369843061560193
"50","your","blogs",0.0026453006756471
"51","have","blogs",0.00581338899236346
"52","this","blogs",0.0068617041680058
"53","the","twitter",0.0307139254855315
"54","to","twitter",0.0258668292063893
"55","and","twitter",0.0142597045485479
"56","a","twitter",0.0200576121783808
"57","of","twitter",0.0118027049187334
"58","in","twitter",0.012414102819525
"59","for","twitter",0.0126431510087391
"60","that","twitter",0.00765876389592987
"61","is","twitter",0.0117533249301875
"62","on","twitter",0.00920548847723556
"63","with","twitter",0.0056874437406755
"64","said","twitter",0.000590620169259609
"65","he","twitter",0.00182502125443582
"66","was","twitter",0.00384506387508638
"67","it","twitter",0.00959115868071925
"68","at","twitter",0.0061472168031356
"69","as","twitter",0.00233299076377232
"70","i","twitter",0.0234830776554566
"71","his","twitter",0.0011149291288673
"72","be","twitter",0.00615375915847557
"73","you","twitter",0.0178770352807196
"74","my","twitter",0.00957455622118816
"75","me","twitter",0.00657920951251891
"76","your","twitter",0.00561472168031356
"77","have","twitter",0.00552513415116063
"78","this","twitter",0.00535006861254068
